experiment_id,selected_indices,vector_count,configured_db_size,vector_dimension,distance_threshold,encrypted_total_ms,initialization_ms,distance_calc_ms,threshold_ms,threshold_agreement_matches,threshold_agreement_total,threshold_accuracy_percent,solution_count,log_file,subset_index_file,subset_database_file
1,"178,255,257,410,433,450,470,580,641,830",10,10,768,0.61,12294,43,5957,5950,10,10,100.0,0,experiment_01/run.log,experiment_01/subset.faiss,experiment_01/subset.csv
2,"19,76,100,143,288,316,524,628,633,657",10,10,768,0.61,12345,43,6022,5940,10,10,100.0,0,experiment_02/run.log,experiment_02/subset.faiss,experiment_02/subset.csv
3,"3,118,191,195,301,306,519,636,803,804",10,10,768,0.61,12297,42,5973,5946,10,10,100.0,0,experiment_03/run.log,experiment_03/subset.faiss,experiment_03/subset.csv
4,"5,151,447,503,634,709,770,825,900,960",10,10,768,0.61,12411,42,6070,5953,10,10,100.0,0,experiment_04/run.log,experiment_04/subset.faiss,experiment_04/subset.csv
5,"239,242,276,290,307,427,482,676,829,913",10,10,768,0.61,12369,43,6013,5963,9,10,90.0,0,experiment_05/run.log,experiment_05/subset.faiss,experiment_05/subset.csv
6,"155,223,244,256,266,279,304,327,546,836",10,10,768,0.61,12296,42,5976,5938,9,10,90.0,0,experiment_06/run.log,experiment_06/subset.faiss,experiment_06/subset.csv
7,"232,261,264,277,314,437,486,502,832,956",10,10,768,0.61,12297,44,6001,5906,9,10,90.0,0,experiment_07/run.log,experiment_07/subset.faiss,experiment_07/subset.csv
8,"9,358,515,560,647,763,766,897,944,991",10,10,768,0.61,12258,43,5966,5909,9,10,90.0,0,experiment_08/run.log,experiment_08/subset.faiss,experiment_08/subset.csv
9,"231,335,542,545,553,589,679,861,931,983",10,10,768,0.61,12369,43,6012,5970,10,10,100.0,0,experiment_09/run.log,experiment_09/subset.faiss,experiment_09/subset.csv
10,"88,121,131,209,296,469,523,678,716,790",10,10,768,0.61,12272,43,5941,5948,10,10,100.0,0,experiment_10/run.log,experiment_10/subset.faiss,experiment_10/subset.csv
11,"91,99,114,161,355,431,606,613,681,934",10,10,768,0.61,12216,43,5932,5903,10,10,100.0,0,experiment_11/run.log,experiment_11/subset.faiss,experiment_11/subset.csv
12,"41,81,269,390,485,629,655,677,696,935",10,10,768,0.61,12350,43,6010,5958,10,10,100.0,0,experiment_12/run.log,experiment_12/subset.faiss,experiment_12/subset.csv
13,"171,177,228,393,468,475,541,605,666,827",10,10,768,0.61,12311,42,5975,5947,10,10,100.0,0,experiment_13/run.log,experiment_13/subset.faiss,experiment_13/subset.csv
14,"128,203,253,287,457,536,593,791,981,989",10,10,768,0.61,12251,45,5890,5970,10,10,100.0,0,experiment_14/run.log,experiment_14/subset.faiss,experiment_14/subset.csv
15,"35,60,132,292,315,319,425,788,869,976",10,10,768,0.61,12317,43,5988,5949,10,10,100.0,0,experiment_15/run.log,experiment_15/subset.faiss,experiment_15/subset.csv
16,"123,462,658,663,706,717,755,760,795,936",10,10,768,0.61,12205,42,5904,5917,10,10,100.0,0,experiment_16/run.log,experiment_16/subset.faiss,experiment_16/subset.csv
17,"59,175,206,237,336,362,382,454,520,691",10,10,768,0.61,12317,42,6028,5904,10,10,100.0,0,experiment_17/run.log,experiment_17/subset.faiss,experiment_17/subset.csv
18,"182,245,297,596,662,664,735,816,845,885",10,10,768,0.61,12364,45,5989,5980,10,10,100.0,0,experiment_18/run.log,experiment_18/subset.faiss,experiment_18/subset.csv
19,"258,409,421,507,526,698,784,850,915,967",10,10,768,0.61,12265,43,5956,5917,10,10,100.0,0,experiment_19/run.log,experiment_19/subset.faiss,experiment_19/subset.csv
20,"7,119,165,192,321,414,565,582,621,739",10,10,768,0.61,12311,42,5966,5940,10,10,100.0,0,experiment_20/run.log,experiment_20/subset.faiss,experiment_20/subset.csv
